entry_id	type	title	headword	gloss	has_etymology	sense_count	word_count	char_count	filename
1.1	excerpt	Jet and Diamond			False	0	270	1507	excerpt/1.1_Jet_and_Diamond.md
1.2	dictionary	"bolegs ""tidy"""	bolegs	tidy	True	3	198	1260	dictionary/1.2_bolegs_tidy.md
1.3	dictionary	"idoneïsar ""adjust"""	idoneïsar	adjust	True	2	98	715	dictionary/1.3_idoneïsar_adjust.md
1.4	dictionary	"storcment ""blackmail"""	storcment	blackmail	True	2	122	779	dictionary/1.4_storcment_blackmail.md
1.5	notes	Children's Curriculum			False	11	394	2462	notes/1.5_Childrens_Curriculum.md
2.1	notes	Waging World Peace			False	0	415	2447	notes/2.1_Waging_World_Peace.md
2.2	dictionary	"fleus ""velvet"""	fleus	velvet	True	6	197	1300	dictionary/2.2_fleus_velvet.md
2.3	dictionary	"dessoclar ""to topple"""	dessoclar	to topple	True	2	121	850	dictionary/2.3_dessoclar_to_topple.md
2.4	dictionary	"stancour ""tinker"""	stancour	tinker	True	3	163	1105	dictionary/2.4_stancour_tinker.md
2.5	excerpt	Children's Curriculum, part 2			False	12	315	1910	excerpt/2.5_Childrens_Curriculum_part_2.md
3.1	notes	Agricultural Innovations			False	0	300	1903	notes/3.1_Agricultural_Innovations.md
3.2	dictionary	"smoutar ""riot"""	smoutar	riot	True	2	118	817	dictionary/3.2_smoutar_riot.md
3.3	dictionary	"sovemblar ""to outline"""	sovemblar	to outline	True	4	177	1228	dictionary/3.3_sovemblar_to_outline.md
3.4	dictionary	"zygom ""valve"""	zygom	valve	True	4	190	1159	dictionary/3.4_zygom_valve.md
3.5	notes	Dane Settlements in the Isles			False	0	258	1716	notes/3.5_Dane_Settlements_in_the_Isles.md
4.1	notes	Rise of the Stadbund			False	0	258	1610	notes/4.1_Rise_of_the_Stadbund.md
4.2	dictionary	"spait ""scared"""	spait	scared	True	3	141	854	dictionary/4.2_spait_scared.md
4.3	dictionary	"autoschedon ""hand-to-hand combat"""	autoschedon	hand-to-hand combat	True	2	128	907	dictionary/4.3_autoschedon_hand-to-hand_combat.md
4.4	dictionary	"belem ""scene"""	belem	scene	True	4	171	1039	dictionary/4.4_belem_scene.md
4.5	notes	Early Borlish Heresy			False	0	255	1738	notes/4.5_Early_Borlish_Heresy.md
5.1	notes	Convoluted Schemes			False	0	303	1848	notes/5.1_Convoluted_Schemes.md
5.2	dictionary	"praxitel ""sculptor"""	praxitel	sculptor	True	5	239	1521	dictionary/5.2_praxitel_sculptor.md
5.3	dictionary	"deðal ""thimble"""	deðal	thimble	True	3	153	933	dictionary/5.3_deðal_thimble.md
5.4	dictionary	"frigsar ""to fry"""	frigsar	to fry	True	2	139	820	dictionary/5.4_frigsar_to_fry.md
5.5	notes	The Mysarnos Codex			False	0	285	1779	notes/5.5_The_Mysarnos_Codex.md
6.1	notes	A Merch Castle			False	0	277	1655	notes/6.1_A_Merch_Castle.md
6.2	dictionary	"nacleu ""slope"""	nacleu	slope	True	9	267	1664	dictionary/6.2_nacleu_slope.md
6.3	dictionary	"voncir ""wax"""	voncir	wax	True	3	175	1205	dictionary/6.3_voncir_wax.md
6.4	dictionary	"zachet ""glue"""	zachet	glue	True	3	180	1100	dictionary/6.4_zachet_glue.md
6.5	notes	The Mysarnos Codex, cont.			False	0	299	1886	notes/6.5_The_Mysarnos_Codex_cont.md
7.1	notes	Recipes in Review			False	0	276	1564	notes/7.1_Recipes_in_Review.md
7.2	dictionary	"yarç ""grate"""	yarç	grate	True	4	194	1276	dictionary/7.2_yarç_grate.md
