entry_id	type	title	headword	gloss	has_etymology	sense_count	word_count	char_count	filename
1.2	dictionary	bolegs "tidy"	bolegs	tidy	True	3	195	1240	dictionary/1.2_bolegs_tidy.md
1.3	dictionary	idoneïsar "adjust"	idoneïsar	adjust	True	2	95	690	dictionary/1.3_idoneïsar_adjust.md
1.4	dictionary	storcment "blackmail"	storcment	blackmail	True	2	119	751	dictionary/1.4_storcment_blackmail.md
1.5	notes	Children's Curriculum			False	11	391	2434	notes/1.5_Children's_Curriculum.md
2.1	excerpt	Waging World Peace			False	0	411	2422	excerpt/2.1_Waging_World_Peace.md
2.2	dictionary	fleus "velvet"	fleus	velvet	True	6	194	1279	dictionary/2.2_fleus_velvet.md
2.3	dictionary	dessoclar "to topple"	dessoclar	to topple	True	2	117	822	dictionary/2.3_dessoclar_to_topple.md
2.4	dictionary	stancour "tinker"	stancour	tinker	True	3	160	1081	dictionary/2.4_stancour_tinker.md
2.5	notes	Children's Curriculum, part 2			False	12	310	1874	notes/2.5_Children's_Curriculum,_part_2.md
3.1	excerpt	Agricultural Innovations			False	0	297	1868	excerpt/3.1_Agricultural_Innovations.md
3.2	dictionary	smoutar "riot"	smoutar	riot	True	2	115	796	dictionary/3.2_smoutar_riot.md
3.3	dictionary	sovemblar "to outline"	sovemblar	to outline	True	4	173	1199	dictionary/3.3_sovemblar_to_outline.md
3.4	dictionary	zygom "valve"	zygom	valve	True	4	187	1139	dictionary/3.4_zygom_valve.md
3.5	notes	Dane Settlements in the Isles			False	0	252	1684	notes/3.5_Dane_Settlements_in_the_Isles.md
4.1	excerpt	Rise of the Stadbund			False	0	253	1583	excerpt/4.1_Rise_of_the_Stadbund.md
4.2	dictionary	spait "scared"	spait	scared	True	3	138	833	dictionary/4.2_spait_scared.md
4.3	dictionary	autoschedon "hand-to-hand combat"	autoschedon	hand-to-hand combat	True	6	296	1913	dictionary/4.3_autoschedon_hand-to-hand_combat.md
4.5	notes	Early Borlish Heresy			False	0	251	1711	notes/4.5_Early_Borlish_Heresy.md
5.1	excerpt	Convoluted Schemes			False	0	300	1823	excerpt/5.1_Convoluted_Schemes.md
5.2	dictionary	praxitel "sculptor"	praxitel	sculptor	True	5	236	1495	dictionary/5.2_praxitel_sculptor.md
5.3	dictionary	deðal "thimble"	deðal	thimble	True	3	150	911	dictionary/5.3_deðal_thimble.md
5.4	dictionary	frigsar "to fry"	frigsar	to fry	True	2	135	797	dictionary/5.4_frigsar_to_fry.md
5.5	notes	The Mysarnos Codex			False	0	281	1754	notes/5.5_The_Mysarnos_Codex.md
6.1	excerpt	A Merch Castle			False	0	273	1634	excerpt/6.1_A_Merch_Castle.md
6.2	dictionary	nacleu "slope"	nacleu	slope	True	9	264	1643	dictionary/6.2_nacleu_slope.md
6.3	dictionary	voncir "wax"	voncir	wax	True	3	172	1186	dictionary/6.3_voncir_wax.md
6.4	dictionary	zachet "glue"	zachet	glue	True	3	177	1080	dictionary/6.4_zachet_glue.md
6.5	notes	The Mysarnos Codex, cont.			False	0	294	1854	notes/6.5_The_Mysarnos_Codex,_cont..md
7.1	excerpt	Recipes in Review			False	0	272	1540	excerpt/7.1_Recipes_in_Review.md
7.2	dictionary	yarç "grate"	yarç	grate	True	4	191	1257	dictionary/7.2_yarç_grate.md
